,x,y
145,adquired,acquired
146,adquires,acquires
147,adquiring,acquiring
148,adres,address
149,adresable,addressable
150,adresing,addressing
151,adress,address
152,adressable,addressable
153,adressed,addressed
154,adressing,"addressing, dressing"
155,adventrous,adventurous
156,advertisment,advertisement
157,advertisments,advertisements
158,advesary,adversary
159,adviced,advised
160,aeriel,aerial
161,aeriels,aerials
162,afair,affair
163,afficianados,aficionados
164,afficionado,aficionado
165,afficionados,aficionados
166,affilate,affiliate
167,affilliate,affiliate
168,affort,"afford, effort"
169,aforememtioned,aforementioned
170,againnst,against
171,agains,against
172,agaisnt,against
173,aganist,against
174,aggaravates,aggravates
175,aggreed,agreed
176,aggreement,agreement
177,aggregious,egregious
178,aggresive,aggressive
179,agian,again
180,agianst,against
181,agin,again
182,agina,"again, angina"
183,aginst,against
184,agravate,aggravate
185,agre,agree
186,agred,agreed
187,agreeement,agreement
188,agreemnt,agreement
189,agregate,aggregate
190,agregates,aggregates
191,agreing,agreeing
192,agression,aggression
193,agressive,aggressive
194,agressively,aggressively
195,agressor,aggressor
196,agricultue,agriculture
197,agriculure,agriculture
198,agricuture,agriculture
199,agrieved,aggrieved
200,ahev,have
201,ahppen,happen
202,ahve,have
203,aicraft,aircraft
204,aiport,airport
205,airbourne,airborne
206,aircaft,aircraft
207,aircrafts,aircraft
208,aircrafts',aircraft's
209,airporta,airports
210,airrcraft,aircraft
211,aisian,asian
212,aka,a.k.a.
213,albiet,albeit
214,alchohol,alcohol
215,alchoholic,alcoholic
216,alchol,alcohol
217,alcholic,alcoholic
218,alcohal,alcohol
219,alcoholical,alcoholic
220,aledge,allege
221,aledged,alleged
222,aledges,alleges
223,alege,allege
224,aleged,alleged
225,alegience,allegiance
226,algebraical,algebraic
227,algorhitms,algorithms
228,algoritm,algorithm
229,algoritms,algorithms
230,alientating,alienating
231,alledge,allege
232,alledged,alleged
233,alledgedly,allegedly
234,alledges,alleges
235,allegedely,allegedly
236,allegedy,allegedly
237,allegely,allegedly
238,allegence,allegiance
239,allegience,allegiance
240,allign,align
241,alligned,aligned
242,alliviate,alleviate
243,allopone,allophone
244,allopones,allophones
245,allready,already
246,allthough,although
247,alltime,all-time
248,alltogether,altogether
249,almsot,almost
250,alochol,alcohol
251,alomst,almost
252,alot,"a lot, allot"
253,alotted,allotted
254,alowed,allowed
255,alowing,allowing
256,alreayd,already
257,alse,else
258,alsot,also
259,alternitives,alternatives
260,altho,although
261,althought,although
262,altough,although
263,alusion,"allusion, illusion"
264,alwasy,always
265,alwyas,always
266,amalgomated,amalgamated
267,amatuer,amateur
268,amature,"armature, amateur"
269,amendmant,amendment
270,Amercia,America
271,amerliorate,ameliorate
272,amke,make
273,amking,making
274,ammend,amend
275,ammended,amended
276,ammendment,amendment
277,ammendments,amendments
278,ammount,amount
279,ammused,amused
280,amoung,among
281,amoungst,amongst
282,amung,among
283,amunition,ammunition
284,analagous,analogous
285,analitic,analytic
286,analogeous,analogous
287,anarchim,anarchism
288,anarchistm,anarchism
289,anbd,and
290,ancestory,ancestry
291,ancilliary,ancillary
292,andd,and
293,androgenous,androgynous
294,androgeny,androgyny
295,anihilation,annihilation
296,aniversary,anniversary
297,annoint,anoint
298,annointed,anointed
299,annointing,anointing
300,annoints,anoints
301,annouced,announced
302,annualy,annually
303,annuled,annulled
304,anohter,another
305,anomolies,anomalies
306,anomolous,anomalous
307,anomoly,anomaly
308,anonimity,anonymity
309,anounced,announced
310,anouncement,announcement
311,ansalisation,nasalisation
312,ansalization,nasalization
313,ansestors,ancestors
314,antartic,antarctic
315,anthromorphization,anthropomorphization
316,anthropolgist,anthropologist
317,anthropolgy,anthropology
318,antiapartheid,anti-apartheid
319,anual,annual
320,anulled,annulled
321,anwsered,answered
322,anyhwere,anywhere
323,anyother,any other
324,anytying,anything
325,aparent,apparent
326,aparment,apartment
327,apenines,"apennines, Apennines"
328,aplication,application
329,aplied,applied
330,apolegetics,apologetics
331,apon,"upon, apron"
332,apparant,apparent
333,apparantly,apparently
334,appart,apart
335,appartment,apartment
336,appartments,apartments
337,appealling,"appealing, appalling"
338,appeareance,appearance
339,appearence,appearance
340,appearences,appearances
341,appenines,"apennines, Apennines"
342,apperance,appearance
343,apperances,appearances
344,appereance,appearance
345,appereances,appearances
346,applicaiton,application
347,applicaitons,applications
348,appologies,apologies
349,appology,apology
350,apprearance,appearance
351,apprieciate,appreciate
352,approachs,approaches
353,appropiate,appropriate
354,appropraite,appropriate
355,appropropiate,appropriate
356,approproximate,approximate
357,approxamately,approximately
358,approxiately,approximately
359,approximitely,approximately
360,aprehensive,apprehensive
361,apropriate,appropriate
362,aproval,approval
363,aproximate,approximate
364,aproximately,approximately
365,aquaduct,aqueduct
366,aquaintance,acquaintance
367,aquainted,acquainted
368,aquiantance,acquaintance
369,aquire,acquire
370,aquired,acquired
371,aquiring,acquiring
372,aquisition,acquisition
373,aquitted,acquitted
374,aranged,arranged
375,arangement,arrangement
376,arbitarily,arbitrarily
377,arbitary,arbitrary
378,archaelogical,archaeological
379,archaelogists,archaeologists
380,archaelogy,archaeology
381,archaoelogy,"archeology, archaeology"
382,archaology,"archeology, archaeology"
383,archeaologist,"archeologist, archaeologist"
384,archeaologists,"archeologists, archaeologists"
385,archetect,architect
386,archetects,architects
387,archetectural,architectural
388,archetecturally,architecturally
389,archetecture,architecture
390,archiac,archaic
391,archictect,architect
392,archimedian,archimedean
393,architecht,architect
394,architechturally,architecturally
395,architechture,architecture
396,architechtures,architectures
397,architectual,architectural
398,archtype,archetype
399,archtypes,archetypes
400,aready,already
401,areodynamics,aerodynamics
402,argubly,arguably
403,arguement,argument
404,arguements,arguments
405,arised,arose
406,arival,arrival
407,armamant,armament
408,armistace,armistice
409,arogant,arrogant
410,arogent,arrogant
411,aroud,around
412,arrangment,arrangement
413,arrangments,arrangements
414,arrengement,arrangement
415,arrengements,arrangements
416,arround,around
417,artcile,article
418,artical,article
419,artice,article
420,articel,article
421,artifical,artificial
422,artifically,artificially
423,artillary,artillery
424,arund,around
425,asetic,ascetic
426,asfar,as far
427,asign,assign
428,aslo,also
429,asociated,associated
430,asorbed,absorbed
431,asphyxation,asphyxiation
432,assasin,assassin
433,assasinate,assassinate
434,assasinated,assassinated
435,assasinates,assassinates
436,assasination,assassination
437,assasinations,assassinations
438,assasined,assassinated
439,assasins,assassins
440,assassintation,assassination
441,assemple,assemble
442,assertation,assertion
443,asside,aside
444,assisnate,assassinate
445,assit,assist
446,assitant,assistant
447,assocation,association
448,assoicate,associate
449,assoicated,associated
450,assoicates,associates
451,assosication,assassination
452,asssassans,assassins
453,assualt,assault
454,assualted,assaulted
455,assymetric,asymmetric
456,assymetrical,asymmetrical
457,asteriod,asteroid
458,asthetic,aesthetic
459,asthetical,aesthetical
460,asthetically,aesthetically
461,asume,assume
462,aswell,as well
463,atain,attain
464,atempting,attempting
465,atheistical,atheistic
466,athenean,athenian
467,atheneans,athenians
468,athiesm,atheism
469,athiest,atheist
470,atorney,attorney
471,atribute,attribute
472,atributed,attributed
473,atributes,attributes
474,attaindre,"attainder, attained"
475,attemp,attempt
476,attemped,attempted
477,attemt,attempt
478,attemted,attempted
479,attemting,attempting
480,attemts,attempts
481,attendence,attendance
482,attendent,attendant
483,attendents,attendants
484,attened,attended
485,attension,attention
486,attitide,attitude
487,attributred,attributed
488,attrocities,atrocities
489,audeince,audience
490,auromated,automated
491,austrailia,Australia
492,austrailian,Australian
493,auther,author
494,authobiographic,autobiographic
495,authobiography,autobiography
496,authorative,authoritative
497,authorites,authorities
498,authorithy,authority
499,authoritiers,authorities
500,authoritive,authoritative
501,authrorities,authorities
502,autochtonous,autochthonous
503,autoctonous,autochthonous
504,automaticly,automatically
505,automibile,automobile
506,automonomous,autonomous
507,autor,author
508,autority,authority
509,auxilary,auxiliary
510,auxillaries,auxiliaries
511,auxillary,auxiliary
512,auxilliaries,auxiliaries
513,auxilliary,auxiliary
514,availabe,available
515,availablity,availability
516,availaible,available
517,availble,available
518,availiable,available
519,availible,available
520,avalable,available
521,avalance,avalanche
522,avaliable,available
523,avation,aviation
524,avengence,a vengeance
525,averageed,averaged
526,avilable,available
527,awared,awarded
528,awya,away
529,baceause,because
530,backgorund,background
531,backrounds,backgrounds
532,bakc,back
533,banannas,bananas
534,bandwith,bandwidth
535,bankrupcy,bankruptcy
536,banruptcy,bankruptcy
537,baout,"about, bout"
538,basicaly,basically
539,basicly,basically
540,bcak,back
541,beachead,beachhead
542,beacuse,because
543,beastiality,bestiality
544,beatiful,beautiful
545,beaurocracy,bureaucracy
546,beaurocratic,bureaucratic
547,beautyfull,beautiful
548,becamae,became
549,becames,"becomes, became"
550,becasue,because
551,beccause,because
552,becomeing,becoming
553,becomming,becoming
554,becouse,because
555,becuase,because
556,bedore,before
557,beeing,being
558,befoer,before
559,beggin,"begin, begging"
560,begginer,beginner
561,begginers,beginners
562,beggining,beginning
563,begginings,beginnings
564,beggins,begins
565,begining,beginning
566,beginnig,beginning
567,behavour,"behavior, behaviour"
568,beleagured,beleaguered
569,beleif,belief
570,beleive,believe
571,beleived,believed
572,beleives,believes
573,beleiving,believing
574,beligum,belgium
575,belive,believe
576,belived,"believed, beloved"
577,belives,"believes, beliefs"
578,belligerant,belligerent
579,bellweather,bellwether
580,bemusemnt,bemusement
581,beneficary,beneficiary
582,beng,being
583,benificial,beneficial
584,benifit,benefit
585,benifits,benefits
586,bergamont,bergamot
587,Bernouilli,Bernoulli
588,beseige,besiege
589,beseiged,besieged
590,beseiging,besieging
591,beteen,between
592,betwen,between
593,beween,between
594,bewteen,between
595,bigining,beginning
596,biginning,beginning
597,bilateraly,bilaterally
598,billingualism,bilingualism
599,binominal,binomial
600,bizzare,bizarre
601,blaim,blame
602,blaimed,blamed
603,blessure,blessing
604,Blitzkreig,Blitzkrieg
605,boaut,"bout, boat, about"
606,bodydbuilder,bodybuilder
607,bombardement,bombardment
608,bombarment,bombardment
609,bondary,boundary
610,Bonnano,Bonanno
611,boook,book
612,borke,broke
613,boundry,boundary
614,bouyancy,buoyancy
615,bouyant,buoyant
616,boyant,buoyant
617,bradcast,broadcast
618,Brasillian,Brazilian
619,breakthough,breakthrough
620,breakthroughts,breakthroughs
621,breif,brief
622,breifly,briefly
623,brethen,brethren
624,bretheren,brethren
625,briliant,brilliant
626,brillant,brilliant
627,brimestone,brimstone
628,Britian,Britain
629,Brittish,British
630,broacasted,broadcast
631,broadacasting,broadcasting
632,broady,broadly
633,Buddah,Buddha
634,Buddist,Buddhist
635,buisness,business
636,buisnessman,businessman
637,buoancy,buoyancy
638,buring,"burying, burning, burin, during"
639,burried,buried
640,busines,business
641,busineses,"business, businesses"
642,busness,business
643,bussiness,business
644,caculater,calculator
645,cacuses,caucuses
646,cahracters,characters
647,calaber,caliber
648,calander,"calendar, calender, colander"
649,calculater,calculator
650,calculs,calculus
651,calenders,calendars
652,caligraphy,calligraphy
653,caluclate,calculate
654,caluclated,calculated
655,caluculate,calculate
656,caluculated,calculated
657,calulate,calculate
658,calulated,calculated
659,calulater,calculator
660,Cambrige,Cambridge
661,camoflage,camouflage
662,campagin,campaign
663,campain,campaign
664,campains,campaigns
665,candadate,candidate
666,candiate,candidate
667,candidiate,candidate
668,cannister,canister
669,cannisters,canisters
670,cannnot,cannot
671,cannonical,canonical
672,cannotation,connotation
673,cannotations,connotations
674,caost,coast
675,caperbility,capability
676,Capetown,Cape Town
677,capible,capable
678,captial,capital
679,captued,captured
680,capturd,captured
681,carachter,character
682,caracterized,characterized
683,carcas,"carcass, Caracas"
684,carefull,careful
685,careing,caring
686,carismatic,charismatic
687,Carmalite,Carmelite
688,Carnagie,Carnegie
689,Carnagie,ellon->Carnegie-Mellon
690,carnege,"carnage, Carnegie"
691,carnige,"carnage, Carnegie"
692,Carnigie,Carnegie
693,Carnigie,ellon->Carnegie-Mellon
694,carreer,career
695,carrers,careers
696,Carribbean,Caribbean
697,Carribean,Caribbean
698,carryng,carrying
699,cartdridge,cartridge
700,Carthagian,Carthaginian
701,carthographer,cartographer
702,cartilege,cartilage
703,cartilidge,cartilage
704,cartrige,cartridge
705,casette,cassette
706,casion,caisson
707,cassawory,cassowary
708,cassowarry,cassowary
709,casue,cause
710,casued,caused
711,casues,causes
712,casuing,causing
713,casulaties,casualties
714,casulaty,casualty
715,catagories,categories
716,catagorized,categorized
717,catagory,category
718,Cataline,"Catiline, Catalina"
719,catapillar,caterpillar
720,catapillars,caterpillars
721,catapiller,caterpillar
722,catapillers,caterpillars
723,catepillar,caterpillar
724,catepillars,caterpillars
725,catergorize,categorize
726,catergorized,categorized
727,caterpilar,caterpillar
728,caterpilars,caterpillars
729,caterpiller,caterpillar
730,caterpillers,caterpillars
731,cathlic,catholic
732,catholocism,catholicism
733,catterpilar,caterpillar
734,catterpilars,caterpillars
735,catterpillar,caterpillar
736,catterpillars,caterpillars
737,cattleship,battleship
738,causalities,casualties
739,Ceasar,Caesar
740,Celcius,Celsius
741,cellpading,cellpadding
742,cementary,cemetery
743,cemetarey,cemetery
744,cemetaries,cemeteries
745,cemetary,cemetery
746,cencus,census
747,censur,"censor, censure"
748,cententenial,centennial
749,centruies,centuries
750,centruy,century
751,centuties,centuries
752,centuty,century
753,ceratin,"certain, keratin"
754,cerimonial,ceremonial
755,cerimonies,ceremonies
756,cerimonious,ceremonious
757,cerimony,ceremony
758,ceromony,ceremony
759,certainity,certainty
760,certian,certain
761,cervial,"cervical, servile, serval"
762,chalenging,challenging
763,challange,challenge
764,challanged,challenged
765,challege,challenge
766,Champange,Champagne
767,changable,changeable
768,charachter,character
769,charachters,characters
770,charactersistic,characteristic
771,charactor,character
772,charactors,characters
773,charasmatic,charismatic
774,charaterized,characterized
775,chariman,chairman
776,charistics,characteristics
777,chasr,"chaser, chase"
778,cheif,chief
779,cheifs,chiefs
780,chemcial,chemical
781,chemcially,chemically
782,chemestry,chemistry
783,chemicaly,chemically
784,childbird,childbirth
785,childen,children
786,choclate,chocolate
787,choosen,chosen
788,chracter,character
789,chuch,church
790,churchs,churches
791,Cincinatti,Cincinnati
792,Cincinnatti,Cincinnati
793,circulaton,circulation
794,circumsicion,circumcision
795,circut,circuit
796,ciricuit,circuit
797,ciriculum,curriculum
798,civillian,civilian
799,claer,clear
800,claerer,clearer
801,claerly,clearly
802,claimes,claims
803,clas,class
804,clasic,classic
805,clasical,classical
806,clasically,classically
807,cleareance,clearance
808,clera,"clear, sclera"
809,clincial,clinical
810,clinicaly,clinically
811,cmo,com
812,cmoputer,computer
813,co,ncided->coincided
814,Coca Cola,Coca-Cola
815,coctail,cocktail
816,coform,conform
817,cognizent,cognizant
818,coincedentally,coincidentally
819,colaborations,collaborations
820,colateral,collateral
821,colelctive,collective
822,collaberative,collaborative
823,collecton,collection
824,collegue,colleague
825,collegues,colleagues
826,collonade,colonnade
827,collonies,colonies
828,collony,colony
829,collosal,colossal
830,colonizators,colonizers
831,comander,"commander, commandeer"
832,comando,commando
833,comandos,commandos
834,comany,company
835,comapany,company
836,comback,comeback
837,combanations,combinations
838,combinatins,combinations
839,combusion,combustion
840,comdemnation,condemnation
841,comemmorates,commemorates
842,comemoretion,commemoration
843,comision,commission
844,comisioned,commissioned
845,comisioner,commissioner
846,comisioning,commissioning
847,comisions,commissions
848,comission,commission
849,comissioned,commissioned
850,comissioner,commissioner
851,comissioning,commissioning
852,comissions,commissions
853,comited,committed
854,comiting,committing
855,comitted,committed
856,comittee,committee
857,comitting,committing
858,commandoes,commandos
859,commedic,comedic
860,commemerative,commemorative
861,commemmorate,commemorate
862,commemmorating,commemorating
863,commerical,commercial
864,commerically,commercially
865,commericial,commercial
866,commericially,commercially
867,commerorative,commemorative
868,comming,coming
869,comminication,communication
870,commision,commission
871,commisioned,commissioned
872,commisioner,commissioner
873,commisioning,commissioning
874,commisions,commissions
875,commited,committed
876,commitee,committee
877,commiting,committing
878,committe,committee
879,committment,commitment
880,committments,commitments
881,commmemorated,commemorated
882,commongly,commonly
883,commonweath,commonwealth
884,commuications,communications
885,commuinications,communications
886,communciation,communication
887,communiation,communication
888,communites,communities
889,compability,compatibility
890,comparision,comparison
891,comparisions,comparisons
892,comparitive,comparative
893,comparitively,comparatively
894,compatabilities,compatibilities
895,compatability,compatibility
896,compatable,compatible
897,compatablities,compatibilities
898,compatablity,compatibility
899,compatiable,compatible
900,compatiblities,compatibilities
901,compatiblity,compatibility
902,compeitions,competitions
903,compensantion,compensation
904,competance,competence
905,competant,competent
906,competative,competitive
907,competion,"competition, completion"
908,competitiion,competition
909,competive,competitive
910,competiveness,competitiveness
911,comphrehensive,comprehensive
912,compitent,competent
913,completedthe,completed the
914,completelyl,completely
915,completetion,completion
916,complier,compiler
917,componant,component
918,comprable,comparable
919,comprimise,compromise
920,compulsary,compulsory
921,compulsery,compulsory
922,computarized,computerized
923,concensus,consensus
924,concider,consider
925,concidered,considered
926,concidering,considering
927,conciders,considers
928,concieted,conceited
929,concieved,conceived
930,concious,conscious
931,conciously,consciously
932,conciousness,consciousness
933,condamned,condemned
934,condemmed,condemned
935,condidtion,condition
936,condidtions,conditions
937,conditionsof,conditions of
938,conected,connected
939,conection,connection
940,conesencus,consensus
941,confidental,confidential
942,confidentally,confidentially
943,confids,confides
944,configureable,configurable
945,confortable,comfortable
946,congradulations,congratulations
947,congresional,congressional
948,conived,connived
949,conjecutre,conjecture
950,conjuction,conjunction
951,Conneticut,Connecticut
952,conotations,connotations
953,conquerd,conquered
954,conquerer,conqueror
955,conquerers,conquerors
956,conqured,conquered
957,conscent,consent
958,consciouness,consciousness
959,consdider,consider
960,consdidered,considered
961,consdiered,considered
962,consectutive,consecutive
963,consenquently,consequently
964,consentrate,concentrate
965,consentrated,concentrated
966,consentrates,concentrates
967,consept,concept
968,consequentually,consequently
969,consequeseces,consequences
970,consern,concern
971,conserned,concerned
972,conserning,concerning
973,conservitive,conservative
974,consiciousness,consciousness
975,consicousness,consciousness
976,considerd,considered
977,consideres,considered
978,consious,conscious
979,consistant,consistent
980,consistantly,consistently
981,consituencies,constituencies
982,consituency,constituency
983,consituted,constituted
984,consitution,constitution
985,consitutional,constitutional
986,consolodate,consolidate
987,consolodated,consolidated
988,consonent,consonant
989,consonents,consonants
990,consorcium,consortium
991,conspiracys,conspiracies
992,conspiriator,conspirator
993,constaints,constraints
994,constanly,constantly
995,constarnation,consternation
996,constatn,constant
997,constinually,continually
998,constituant,constituent
999,constituants,constituents
1000,constituion,constitution
1001,constituional,constitutional
1002,consttruction,construction
1003,constuction,construction
1004,contstruction,construction
1005,consulant,consultant
1006,consumate,consummate
1007,consumated,consummated
1008,contaiminate,contaminate
1009,containes,contains
1010,contamporaries,contemporaries
1011,contamporary,contemporary
1012,contempoary,contemporary
1013,contemporaneus,contemporaneous
1014,contempory,contemporary
1015,contendor,contender
1016,contian,contain
1017,contians,contains
1018,contibute,contribute
1019,contibuted,contributed
1020,contibutes,contributes
1021,contigent,contingent
1022,contined,continued
1023,continential,continental
1024,continous,continuous
1025,continously,continuously
1026,continueing,continuing
1027,contravercial,controversial
1028,contraversy,controversy
1029,contributer,contributor
1030,contributers,contributors
1031,contritutions,contributions
1032,controled,controlled
1033,controling,controlling
1034,controll,control
1035,controlls,controls
1036,controvercial,controversial
1037,controvercy,controversy
1038,controveries,controversies
1039,controversal,controversial
1040,controversey,controversy
1041,controvertial,controversial
1042,controvery,controversy
1043,contruction,construction
1044,conveinent,convenient
1045,convenant,covenant
1046,convential,conventional
1047,convertables,convertibles
1048,convertion,conversion
1049,conviced,convinced
1050,convienient,convenient
1051,coordiantion,coordination
1052,coorperation,"cooperation, corporation"
1053,coorperations,corporations
1054,copmetitors,competitors
1055,coputer,computer
1056,copywrite,copyright
1057,coridal,cordial
1058,cornmitted,committed
1059,corosion,corrosion
1060,corparate,corporate
1061,corperations,corporations
1062,correcters,correctors
1063,correponding,corresponding
1064,correposding,corresponding
1065,correspondant,correspondent
1066,correspondants,correspondents
1067,corridoors,corridors
1068,corrispond,correspond
1069,corrispondant,correspondent
1070,corrispondants,correspondents
1071,corrisponded,corresponded
1072,corrisponding,corresponding
1073,corrisponds,corresponds
1074,costitution,constitution
1075,coucil,council
1076,coudl,"could, cloud"
1077,councellor,"councillor, counselor, councilor"
1078,councellors,"councillors, counselors, councilors"
1079,counries,countries
1080,countains,contains
1081,countires,countries
1082,countrie's,"countries, countries', country's"
1083,coururier,"courier, couturier"
1084,coverted,"converted, covered, coveted"
1085,cpoy,"coy, copy"
1086,creaeted,created
1087,creche,crèche
1088,creedence,credence
1089,critereon,criterion
1090,criterias,criteria
1091,criticists,critics
1092,critising,"criticising, criticizing"
1093,critisising,criticising
1094,critisism,criticism
1095,critisisms,criticisms
1096,critisize,"criticise, criticize"
1097,critisized,"criticised, criticized"
1098,critisizes,"criticises, criticizes"
1099,critisizing,"criticising, criticizing"
1100,critized,criticized
1101,critizing,criticizing
1102,crockodiles,crocodiles
1103,crowm,crown
1104,crtical,critical
1105,crticised,criticised
1106,crucifiction,crucifixion
1107,crusies,cruises
1108,crutial,crucial
1109,crystalisation,crystallisation
1110,culiminating,culminating
1111,cumulatative,cumulative
1112,curch,church
1113,curcuit,circuit
1114,currenly,currently
1115,curriculem,curriculum
1116,cxan,cyan
1117,cyclinder,cylinder
1118,dacquiri,daiquiri
1119,daed,dead
1120,dael,"deal, dial, dahl"
1121,dalmation,dalmatian
1122,damenor,demeanor
1123,dammage,damage
1124,Dardenelles,Dardanelles
1125,daugher,daughter
1126,debateable,debatable
1127,decendant,descendant
1128,decendants,descendants
1129,decendent,descendant
1130,decendents,descendants
1131,decideable,decidable
1132,decidely,decidedly
1133,decieved,deceived
1134,decison,decision
1135,decomissioned,decommissioned
1136,decomposit,decompose
1137,decomposited,decomposed
1138,decompositing,decomposing
1139,decomposits,decomposes
1140,decress,decrees
1141,decribe,describe
1142,decribed,described
1143,decribes,describes
1144,decribing,describing
1145,dectect,detect
1146,defendent,defendant
1147,defendents,defendants
1148,deffensively,defensively
1149,deffine,define
1150,deffined,defined
1151,definance,defiance
1152,definate,definite
1153,definately,definitely
1154,definatly,definitely
1155,definetly,definitely
1156,definining,defining
1157,definit,definite
1158,definitly,definitely
1159,definiton,definition
1160,defintion,definition
1161,degrate,degrade
1162,delagates,delegates
1163,delapidated,dilapidated
1164,delerious,delirious
1165,delevopment,development
1166,deliberatly,deliberately
1167,delusionally,delusively
1168,demenor,demeanor
1169,demographical,demographic
1170,demolision,demolition
1171,demorcracy,democracy
1172,demostration,demonstration
1173,denegrating,denigrating
1174,densly,densely
1175,deparment,department
1176,deparmental,departmental
1177,deparments,departments
1178,dependance,dependence
1179,dependancy,dependency
1180,deram,"dram, dream"
1181,deriviated,derived
1182,derivitive,derivative
1183,derogitory,derogatory
1184,descendands,descendants
1185,descibed,described
1186,descision,decision
1187,descisions,decisions
1188,descriibes,describes
1189,descripters,descriptors
1190,descripton,description
1191,desctruction,destruction
1192,descuss,discuss
1193,desgined,designed
1194,deside,decide
1195,desigining,designing
1196,desinations,destinations
1197,desintegrated,disintegrated
1198,desintegration,disintegration
1199,desireable,desirable
1200,desitned,destined
1201,desktiop,desktop
1202,desorder,disorder
1203,desoriented,disoriented
1204,desparate,"desperate, disparate"
1205,despict,depict
1206,despiration,desperation
1207,dessicated,desiccated
1208,dessigned,designed
1209,destablized,destabilized
1210,destory,destroy
1211,detailled,detailed
1212,detatched,detached
1213,deteoriated,deteriorated
1214,deteriate,deteriorate
1215,deterioriating,deteriorating
1216,determinining,determining
1217,detremental,detrimental
1218,devasted,devastated
1219,develope,develop
1220,developement,development
1221,developped,developed
1222,develpment,development
1223,devels,delves
1224,devestated,devastated
1225,devestating,devastating
1226,devide,divide
1227,devided,divided
1228,devistating,devastating
1229,devolopement,development
1230,diablical,diabolical
1231,diamons,diamonds
1232,diaster,disaster
1233,dichtomy,dichotomy
1234,diconnects,disconnects
1235,dicover,discover
1236,dicovered,discovered
1237,dicovering,discovering
1238,dicovers,discovers
1239,dicovery,discovery
1240,dictionarys,dictionaries
1241,dicussed,discussed
1242,didnt,didn't
1243,diea,"idea, die"
1244,dieing,"dying, dyeing"
1245,dieties,deities
1246,diety,deity
1247,diferent,different
1248,diferrent,different
1249,differentiatiations,differentiations
1250,differnt,different
1251,difficulity,difficulty
1252,diffrent,different
1253,dificulties,difficulties
1254,dificulty,difficulty
1255,dimenions,dimensions
1256,dimention,dimension
1257,dimentional,dimensional
1258,dimentions,dimensions
1259,dimesnional,dimensional
1260,diminuitive,diminutive
1261,dimunitive,diminutive
1262,diosese,diocese
1263,diphtong,diphthong
1264,diphtongs,diphthongs
