x,y
consicousness,consciousness
hydropobic,hydrophobic
temprary,temporary
millon,million
husban,husband
decomissioned,decommissioned
publisehr,publisher
simpley,simply
simmilar,similar
attemt,attempt
equivilant,equivalent
accomadates,accommodates
exludes,excludes
resaurant,restaurant
busness,business
onyl,only
recepients,recipients
authorithy,authority
settelement,settlement
ocurrence,occurrence
pamflet,pamphlet
portraing,portraying
basicaly,basically
accademic,academic
habsbourg,habsburg
corrispondants,correspondents
mchanics,mechanics
incompatable,incompatible
retalitated,retaliated
juristictions,jurisdictions
inherantly,inherently
absail,abseil
acclimitization,acclimatization
deparmental,departmental
supose,suppose
cerimony,ceremony
ususally,usually
importamt,important
attendence,attendance
favoutrable,favourable
pubisher,publisher
oppenly,openly
unbeknowst,unbeknownst
accordeon,accordion
ect,etc
eventhough,even though
equivilent,equivalent
occurence,occurrence
abbout,about
anounced,announced
duting,during
ppublisher,publisher
boundry,boundary
misdemenors,misdemeanors
symetry,symmetry
inheritence,inheritance
explotation,exploitation
stomache,stomach
convenant,covenant
indisputibly,indisputably
yeild,yield
coca cola,coca cola
physicaly,physically
attemts,attempts
dissapears,disappears
comparision,comparison
exressed,expressed
dictionarys,dictionaries
fictious,fictitious
hypocrasy,hypocrisy
electricty,electricity
inadvertant,inadvertent
wih,with
mileau,milieu
sufferred,suffered
archetectural,architectural
esitmated,estimated
amung,among
percieve,perceive
synonomous,synonymous
gunanine,guanine
becomeing,becoming
cassawory,cassowary
emmisarries,emissaries
emminently,eminently
youseff,yousef
centruy,century
simplier,simpler
corperations,corporations
plausable,plausible
imprioned,imprisoned
filiament,filament
metalurgic,metallurgic
oposite,opposite
aircrafts ,aircraft s
htikn,think
harrasment,harassment
tattooes,tattoos
fleed,fled
publiaher,publisher
stradegy,strategy
protrayed,portrayed
impressario,impresario
imediately,immediately
dissarray,disarray
glamourous,glamorous
incunabla,incunabula
sotyr,satyr
erally,orally
tradtionally,traditionally
sytem,system
accomadation,accommodation
runnung,running
polute,pollute
hinderance,hindrance
possable,possible
sysmatically,systematically
appereance,appearance
unconvential,unconventional
lisense,license
rocord,record
becuase,because
priviledges,privileges
libguistic,linguistic
sucessful,successful
cerimonies,ceremonies
inspite,in spite
monts,months
similiarity,similarity
invertibrates,invertebrates
funtion,function
managable,manageable
intevene,intervene
statememts,statements
includ,include
pinoneered,pioneered
survivied,survived
linnaena,linnaean
housr,hours
persue,pursue
ilness,illness
tobbaco,tobacco
ommitting,omitting
captial,capital
embarrased,embarrassed
heared,heard
psyhic,psychic
addtion,addition
homestate,home state
soilders,soldiers
portugues,portuguese
incorruptable,incorruptible
eceonomy,economy
addtional,additional
corosion,corrosion
lonley,lonely
issueing,issuing
claerly,clearly
infilitrate,infiltrate
dissapearance,disappearance
everthing,everything
eurpoean,european
iresistably,irresistibly
idealogies,ideologies
eleminated,eliminated
regulaotrs,regulators
exerbated,exacerbated
equivelant,equivalent
anihilation,annihilation
agravate,aggravate
requred,required
elimentary,elementary
vaccume,vacuum
prefered,preferred
acheivment,achievement
quizes,quizzes
porshan,portion
yera,year
casion,caisson
slaugterhouses,slaughterhouses
recived,received
prouncements,pronouncements
unwarrented,unwarranted
matheticians,mathematicians
transending,transcending
humurous,humorous
colateral,collateral
protruberance,protuberance
actualy,actually
extrordinarily,extraordinarily
collosal,colossal
puertorricans,puerto ricans
satrically,satirically
crtical,critical
premillenial,premillennial
translaters,translators
publisheed,published
speciman,specimen
ethnocentricm,ethnocentrism
seperatist,separatist
misdameanors,misdemeanors
peristent,persistent
majoroty,majority
artical,article
argubly,arguably
anomolies,anomalies
thsoe,those
althought,although
dreasm,dreams
descriibes,describes
publishor,publisher
mathmatician,mathematician
parrallely,parallelly
halp,help
univesities,universities
youself,yourself
stong,strong
shaddow,shadow
lveo,love
campains,campaigns
conneticut,connecticut
orignially,originally
pensle,pencil
staion,station
originall,original
wehn,when
tortise ,tortoise
campagin,campaign
contempoary,contemporary
bilateraly,bilaterally
compensantion,compensation
poisin,poison
wensday,wednesday
enteratinment,entertainment
imigrated,emigrated
practioners,practitioners
precisly,precisely
hypocracy,hypocrisy
mischeivous,mischievous
intrusted,entrusted
dammage,damage
planation,plantation
consumated,consummated
archaelogical,archaeological
propietary,proprietary
paranthesis,parenthesis
proffesion,profession
unilateraly,unilaterally
hierarcical,hierarchical
algoritm,algorithm
threatend,threatened
earnt,earned
juadaism,judaism
archaelogists,archaeologists
insurence,insurance
receving,receiving
addresing,addressing
seceeded,succeeded
strikely,strikingly
indviduals,individuals
infrantryman,infantryman
facinated,fascinated
perogative,prerogative
suop,soup
identifers,identifiers
correposding,corresponding
halarious,hilarious
airbourne,airborne
obssessed,obsessed
facillitate,facilitate
disatrous,disastrous
surprize,surprise
republis,republics
ubiquitious,ubiquitous
advertisment,advertisement
belligerant,belligerent
admissable,admissible
bellweather,bellwether
rferences,references
steriods,steroids
tihkn,think
nullabour,nullarbor
adherance,adherence
thnig,thing
orginally,originally
admendment,amendment
professer,professor
liftime,lifetime
levetates,levitates
diferent,different
dissobediance,disobedience
improvments,improvements
changable,changeable
benifit,benefit
equivelent,equivalent
calculater,calculator
immitate,imitate
enviormentally,environmentally
camoflage,camouflage
mataphysical,metaphysical
tiem,time
owudl,would
eveyr,every
cheifs,chiefs
busines,business
ukranian,ukrainian
compeitions,competitions
incomptable,incompatible
cencus,census
uncertainity,uncertainty
assassintation,assassination
varations,variations
abondoned,abandoned
obediance,obedience
distructive,destructive
journied,journeyed
corrisponded,corresponded
hasnt,hasn t
descendands,descendants
gauranteed,guaranteed
unconcious,unconscious
leran,learn
witheld,withheld
essentual,essential
rewitten,rewritten
candiate,candidate
unneccesary,unnecessary
afficionado,aficionado
refereneced,referenced
correspondant,correspondent
allegence,allegiance
restaraunteur,restaurateur
athiesm,atheism
fufilled,fulfilled
dowloads,downloads
govement,government
sudent,student
illegitmate,illegitimate
manufature,manufacture
laguages,languages
diconnects,disconnects
adquired,acquired
reveiw,review
ocasionaly,occasionally
releses,releases
faught,fought
clasic,classic
tehy,they
succesion,succession
speciallized,specialised
misdemenor,misdemeanor
reconcilation,reconciliation
emmediately,immediately
mispell,misspell
ressurrection,resurrection
constarnation,consternation
sheat,sheath
publissher,publisher
wass,was
envolutionary,evolutionary
efficently,efficiently
contigent,contingent
overwelming,overwhelming
tendancy,tendency
medacine,medicine
apperances,appearances
knifes,knives
controversey,controversy
persuded,persuaded
volounteers,volunteers
ammused,amused
possessess,possesses
peloponnes,peloponnesus
headquarer,headquarter
accussed,accused
acheived,achieved
instuction,instruction
tormenters,tormentors
ditributed,distributed
synonymns,synonyms
verison,version
mistery,mystery
agregates,aggregates
ocurred,occurred
averageed,averaged
recontructed,reconstructed
rised,raised
proccess,process
aquisition,acquisition
completelyl,completely
usally,usually
dupicate,duplicate
adminstrate,administrate
commemerative,commemorative
missle,missile
rentors,renters
charistics,characteristics
anwsered,answered
verfication,verification
altough,although
desireable,desirable
labratory,laboratory
competance,competence
swaer,swear
comited,committed
tyrranies,tyrannies
troup,troupe
godess,goddess
catapillar,caterpillar
ocurr,occur
refromist,reformist
advertisments,advertisements
poulations,populations
attened,attended
mortage,mortgage
apprearance,appearance
wholey,wholly
valueable,valuable
daugher,daughter
commonweath,commonwealth
pallete,palette
iwth,with
intially,initially
poportional,proportional
negligable,negligible
buddist,buddhist
authobiography,autobiography
prominately,prominently
contributers,contributors
suprising,surprising
asthetical,aesthetical
privledge,privilege
proclamed,proclaimed
signifigant,significant
tounge,tongue
definitly,definitely
guarentees,guarantees
hillarious,hilarious
insistance,insistence
politican,politician
intrument,instrument
pertubation,perturbation
soudns,sounds
studing,studying
palce,place
ahppen,happen
omniverous,omnivorous
larrry,larry
adventrous,adventurous
drnik,drink
charasmatic,charismatic
mutiliated,mutilated
caterpillers,caterpillars
addionally,additionally
difficulity,difficulty
sargeant,sergeant
circulaton,circulation
everyting,everything
homogeneized,homogenized
loosing,losing
santioned,sanctioned
jouney,journey
marrtyred,martyred
prepartion,preparation
eventualy,eventually
heathy,healthy
ocassioned,occasioned
curch,church
spoonfulls,spoonfuls
succeds,succeeds
qtuie,quite
puertorrican,puerto rican
prominant,prominent
varing,varying
tatoo,tattoo
runing,running
agressor,aggressor
repubican,republican
progroms,pogroms
obession,obsession
doens,does
adn,and
happenned,happened
assit,assist
incidentially,incidentally
govornment,government
subtances,substances
spectaulars,spectaculars
publlisher,publisher
clas,class
auther,author
harrassment,harassment
councellors,councillors
correcters,correctors
commericially,commercially
preceeding,preceding
consentrates,concentrates
gameboy,game boy
saterdays,saturdays
throrough,thorough
repeteadly,repeatedly
repblic,republic
contributer,contributor
greatfully,gratefully
strenghten,strengthen
aginst,against
abilty,ability
belives,believes
constanly,constantly
sionist,zionist
diamons,diamonds
genialia,genitalia
requirment,requirement
soveits,soviets
algoritms,algorithms
transcendant,transcendent
aiport,airport
emmisaries,emissaries
dissappears,disappears
nineth,ninth
oppononent,opponent
continously,continuously
recuring,recurring
intercontinential,intercontinental
disatisfied,dissatisfied
foundary,foundry
principial,principal
incredable,incredible
casues,causes
extint,extinct
eminate,emanate
chemcial,chemical
fimilies,families
establising,establishing
smealting,smelting
repubics,republics
facist,fascist
repatition,repetition
dispair,despair
waht,what
pilgrimmages,pilgrimages
imanent,eminent
blaimed,blamed
univeral,universal
unuseable,unusable
refridgerator,refrigerator
despict,depict
infilitration,infiltration
rucuperate,recuperate
refernce,reference
abundacies,abundances
pinapple,pineapple
juadism,judaism
poltical,political
wille,will
exagerrating,exaggerating
publicaly,publicly
higest,highest
authrorities,authorities
inventer,inventor
clasical,classical
slighly,slightly
survivers,survivors
completedthe,completed the
aeriel,aerial
hierachical,hierarchical
chracter,character
philosphies,philosophies
varities,varieties
electic,eclectic
embarassing,embarrassing
nuisanse,nuisance
anthropolgist,anthropologist
publicher,publisher
exemple,example
surpressed,suppressed
guaduloupe,guadalupe
relpacement,replacement
vehicule,vehicle
muscicians,musicians
origional,original
infomation,information
piblisher,publisher
insensative,insensitive
begining,beginning
themselfs,themselves
resteraunt,restaurant
extemely,extremely
noticeing,noticing
agricultue,agriculture
unsuprizingly,unsurprisingly
napolean,napoleon
cemetaries,cemeteries
enviromentally,environmentally
ressembled,resembled
wholy,wholly
maintainance,maintenance
manouver,maneuver
conciously,consciously
imigration,emigration
incompatiblities,incompatibilities
circut,circuit
adavanced,advanced
divison,division
precice,precise
directoty,directory
consitution,constitution
indulgue,indulge
olther,other
indigineous,indigenous
desitned,destined
attemting,attempting
gerat,great
conquerer,conqueror
dardenelles,dardanelles
horrifing,horrifying
arguement,argument
refering,referring
recieves,receives
effulence,effluence
expeced,expected
assualted,assaulted
gallaxies,galaxies
visable,visible
holliday,holiday
grat,great
phenomonon,phenomenon
peformed,performed
unballance,unbalance
intervines,intervenes
seige,siege
aledge,allege
abreviation,abbreviation
differentiatiations,differentiations
fullfilled,fulfilled
ocuntry,country
harasments,harassments
godesses,goddesses
phenomenonal,phenomenal
somwhere,somewhere
attemped,attempted
partialy,partially
ciriculum,curriculum
influented,influenced
assasinates,assassinates
ressemblence,resemblance
phylosophical,philosophical
receeded,receded
thikning,thinking
subconsiously,subconsciously
taxanomic,taxonomic
consciouness,consciousness
appology,apology
severeal,several
noteable,notable
residental,residential
femminist,feminist
achievment,achievement
incorportaed,incorporated
liuke,like
comparitive,comparative
wasnt,wasn t
repetion,repetition
manuver,maneuver
disctinctive,distinctive
accidentaly,accidentally
embarras,embarrass
perosnality,personality
ensconsed,ensconced
decendants,descendants
tempertaure,temperature
peice,piece
condidtions,conditions
fufill,fulfill
wokring,working
vigeur,vigueur
immidiately,immediately
signfies,signifies
similarily,similarly
approxamately,approximately
priveliges,privileges
endig,ending
monestaries,monasteries
abutts,abuts
catagories,categories
recuiting,recruiting
beccause,because
leanr,lean
breif,brief
ganster,gangster
unweildly,unwieldy
inudstry,industry
constituion,constitution
protaganists,protagonists
dissappear,disappear
seldomly,seldom
imprisonned,imprisoned
consistantly,consistently
republians,republicans
conservitive,conservative
premeire,premiere
appealling,appealing
possibile,possible
fightings,fighting
exicting,exciting
galvinized,galvanized
reccommending,recommending
acheiving,achieving
inseperable,inseparable
undreground,underground
assoicated,associated
pensinula,peninsula
sucesful,successful
sovereignity,sovereignty
russion,russian
prooved,proved
referrs,refers
incompetant,incompetent
pavillion,pavilion
abandonned,abandoned
penerator,penetrator
reorganision,reorganisation
garantees,guarantees
similiarly,similarly
surplanted,supplanted
assertation,assertion
countains,contains
indpendent,independent
miscelaneous,miscellaneous
repulican,republican
maked,marked
scaricity,scarcity
unlikey,unlikely
rebllions,rebellions
consituted,constituted
obstacal,obstacle
unchallengable,unchallengeable
sedereal,sidereal
carismatic,charismatic
preceeds,precedes
monickers,monikers
proccessing,processing
occassional,occasional
severly,severely
heigher,higher
gogin,going
penninsular,peninsular
allegedely,allegedly
strictist,strictest
parellels,parallels
tremelo,tremolo
adecuate,adequate
prairy,prairie
immunosupressant,immunosuppressant
buoancy,buoyancy
conditionsof,conditions of
likelyhood,likelihood
recogize,recognize
priveledges,privileges
convential,conventional
pomegranite,pomegranate
immidately,immediately
analagous,analogous
fortelling,foretelling
independantly,independently
oximoron,oxymoron
attributred,attributed
contibutes,contributes
monestary,monastery
structual,structural
plantiff,plaintiff
practicly,practically
incomptetent,incompetent
inablility,inability
seached,searched
discontentment,discontent
obediant,obedient
scince,science
caperbility,capability
conciousness,consciousness
practioner,practitioner
hitsingles,hit singles
nessasarily,necessarily
identicial,identical
htis,this
beggin,begin
comissioned,commissioned
peacefuland,peaceful and
becames,becomes
heridity,heredity
conesencus,consensus
peculure,peculiar
emmigrated,emigrated
compatiable,compatible
comissions,commissions
apenines,apennines
subsiduary,subsidiary
phillipines,philippines
smoe,some
thign,thing
alternitives,alternatives
theri,their
originaly,originally
collonies,colonies
occurr,occur
comando,commando
sucesses,successes
thyat,that
traditition,tradition
opthamologist,ophthalmologist
devided,divided
herad,heard
withing,within
prestigeous,prestigious
incompetance,incompetence
insitution,institution
possiblities,possibilities
excellance,excellence
happended,happened
ocuntries,countries
recomending,recommending
toke,took
beleiving,believing
decribe,describe
casuing,causing
rigeur,rigueur
competiveness,competitiveness
recieve,receive
foward,forward
bedore,before
critisized,criticised
awared,awarded
acustommed,accustomed
parrallell,parallel
substraction,subtraction
purpotedly,purportedly
constituants,constituents
yaching,yachting
respectivly,respectively
emphysyma,emphysema
shortwhile,short while
movei,movie
arogent,arrogant
achievments,achievements
apperance,appearance
twelth,twelfth
affort,afford
adequit,adequate
civillian,civilian
republi,republic
asthetic,aesthetic
stubborness,stubbornness
carmalite,carmelite
oppinion,opinion
incarcirated,incarcerated
simultanously,simultaneously
greif,grief
concensus,consensus
cassowarry,cassowary
volonteered,volunteered
inofficial,unofficial
commitee,committee
guiness,guinness
meterology,meteorology
previvous,previous
threshhold,threshold
betwen,between
anulled,annulled
currenly,currently
asociated,associated
alcholic,alcoholic
technnology,technology
fullfill,fulfill
exchanching,exchanging
casue,cause
repentence,repentance
readmition,readmission
indpendently,independently
componant,component
cyclinder,cylinder
consolodated,consolidated
leage,league
solatary,solitary
sensure,censure
informtion,information
envrionments,environments
godounov,godunov
faciliated,facilitated
phenomenom,phenomenon
recompence,recompense
todya,today
temparate,temperate
substatial,substantial
immediatly,immediately
harrasses,harassed
assasination,assassination
electrial,electrical
legitmate,legitimate
phenomonenon,phenomenon
electricly,electrically
orginize,organise
heiroglyphics,hieroglyphics
moderm,modem
enduce,induce
intelectual,intellectual
cannotation,connotation
paitience,patience
teached,taught
mamalian,mammalian
conciders,considers
demenor,demeanor
dependancy,dependency
agianst,against
guarentee,guarantee
curcuit,circuit
attaindre,attainder
perjery,perjury
sucessfull,successful
pumkin,pumpkin
seperation,separation
disatisfaction,dissatisfaction
millitant,militant
atorney,attorney
heidelburg,heidelberg
sattelite,satellite
movment,movement
responibilities,responsibilities
dipthongs,diphthongs
saught,sought
acccused,accused
dissappointed,disappointed
endevors,endeavors
surveilence,surveillance
distrubution,distribution
dirived,derived
gracefull,graceful
exectued,executed
reciept,receipt
devestating,devastating
formelly,formerly
mediciney,mediciny
recepient,recipient
sacrifical,sacrificial
definetly,definitely
literaly,literally
dissagreement,disagreement
everytime,every time
catholocism,catholicism
suposedly,supposedly
alcoholical,alcoholic
beleive,believe
managment,management
tongiht,tonight
popularaty,popularity
addopt,adopt
acomplishment,accomplishment
cementary,cemetery
resturaunts,restaurants
affilliate,affiliate
wendsay,wednesday
alse,else
visting,visiting
surfce,surface
indispensible,indispensable
provinicial,provincial
rythem,rhythm
independece,independence
approxiately,approximately
corrispond,correspond
considerd,considered
emmisions,emissions
illution,illusion
playwrites,playwrights
muder,murder
assoicate,associate
extradiction,extradition
equivlalent,equivalent
diosese,diocese
doccument,document
appearence,appearance
strenghtened,strengthened
unneccessarily,unnecessarily
torpeados,torpedoes
potrayed,portrayed
pomotion,promotion
unsucesfuly,unsuccessfully
radiactive,radioactive
phenonmena,phenomena
whith,with
shorly,shortly
unneccessary,unnecessary
volonteering,volunteering
agregate,aggregate
openess,openness
conserning,concerning
exagerated,exaggerated
aquaduct,aqueduct
aquiantance,acquaintance
dominaton,domination
comissioner,commissioner
oppossed,opposed
exersize,exercise
emmisary,emissary
lieuenant,lieutenant
brillant,brilliant
consonents,consonants
exerciese,exercises
dispence,dispense
descuss,discuss
sepulchure,sepulchre
inevititably,inevitably
negotation,negotiation
pattented,patented
surreptiously,surreptitiously
instatance,instance
amalgomated,amalgamated
morgage,mortgage
geometrician,geometer
witn,with
thoughout,throughout
aplied,applied
palistinian,palestinian
crowm,crown
suposed,supposed
absense,absence
surprizingly,surprisingly
peom,poem
consorcium,consortium
sofware,software
tjhe,the
dicovery,discovery
censur,censor
satelites,satellites
abondons,abandons
realy,really
yeilding,yielding
eligable,eligible
ocurrance,occurrence
recommedations,recommendations
befoer,before
anbd,and
oging,going
morrisette,morissette
noteriety,notoriety
nmae,name
additonal,additional
demographical,demographic
temperment,temperament
leathal,lethal
televsion,television
relinqushment,relinquishment
miltary,military
allegience,allegiance
geographicial,geographical
candadate,candidate
excecuted,executed
religeous,religious
tendacy,tendency
collonade,colonnade
weild,wield
brimestone,brimstone
decendant,descendant
rhythim,rhythm
cartilidge,cartilage
momento,memento
practicioners,practitioners
materalists,materialist
absailing,abseiling
effords,efforts
membranaphone,membranophone
embargos,embargoes
critisize,criticise
familliar,familiar
autor,author
responisble,responsible
confids,confides
gottleib,gottlieb
costitution,constitution
tath,that
specfic,specific
reliablity,reliability
undetecable,undetectable
htere,there
authoritiers,authorities
origanaly,originally
huminoid,humanoid
opprotunity,opportunity
nonsence,nonsense
harassement,harassment
muncipality,municipality
coincedentally,coincidentally
versitlity,versatility
earlies,earliest
stateman,statesman
ocassional,occasional
renedered,rende
saxaphone,saxophone
hierachies,hierarchies
plagarism,plagiarism
yeasr,years
sorrounding,surrounding
posess,possess
levetate,levitate
methaphor,metaphor
parallely,parallelly
mroe,more
literture,literature
constinually,continually
immitated,imitated
mysogynist,misogynist
sucessot,successor
metalurgical,metallurgical
capturd,captured
innoculated,inoculated
markes,marks
vetween,between
agina,again
artifical,artificial
litterally,literally
imigrant,emigrant
aggaravates,aggravates
unsed,used
overshaddowed,overshadowed
posessing,possessing
manoeuverability,maneuverability
adressing,addressing
sieze,seize
himselv,himself
appeareance,appearance
arund,around
suround,surround
auxilliary,auxiliary
autoctonous,autochthonous
holf,hold
consequeseces,consequences
asssassans,assassins
controversal,controversial
assoicates,associates
coform,conform
recogise,recognise
owrk,work
senstive,sensitive
desctruction,destruction
stucture,structure
eventally,eventually
bombardement,bombardment
busineses,business
achive,achieve
transmissable,transmissible
indictement,indictment
inclreased,increased
levetating,levitating
ocassion,occasion
syphyllis,syphilis
weilded,wielded
comisioning,commissioning
flemmish,flemish
seperates,separates
offically,officially
approproximate,approximate
doub,doubt
claimes,claims
refrers,refers
addopted,adopted
resistent,resistant
stlye,style
theives,thieves
tkaes,takes
acquiantences,acquaintances
humoural,humoral
equalibrium,equilibrium
sincerley,sincerely
desinations,destinations
releive,relieve
bizzare,bizarre
truely,truly
northereastern,northeastern
austrailia,australia
protaganist,protagonist
contamporaries,contemporaries
mischevious,mischievous
maching,machine
reacll,recall
tradionally,traditionally
polutes,pollutes
lvoe,love
sinse,sines
abilityes,abilities
sucessfuly,successfully
referencs,references
critereon,criterion
arround,around
ommitted,omitted
questonable,questionable
perhasp,perhaps
claer,clear
unihabited,uninhabited
scuptures,sculptures
revaluated,reevaluated
commuinications,communications
critisising,criticising
poenis,penis
comback,comeback
ressembling,resembling
sucess,success
farenheit,fahrenheit
unathorised,unauthorised
marryied,married
athenean,athenian
alwyas,always
publically,publicly
alchol,alcohol
alledge,allege
attrocities,atrocities
influencial,influential
